,题干,A,B,C,D,答案
447,社会主义建设时期，提出“我们的教育方针，应该使受教育者在德育、智育、体育几方面都得到发展，成为有社会主义觉悟的有文化的劳动者”的教育思想的党和国家领导人是（    ）。,毛泽东,刘少奇,周恩来,朱德,A
448,中国共产党的指导思想是（  ）。,马克思主义,列宁主义,马克思列宁主义,毛泽东思想,C
449,中国革命和建设取得成功的根本经验是（  ）。,独立自主、自力更生,把马克思主义与中国具体实际相结合,武装斗争、党的建设、统一战线,群众路线,B
450,（  ）会议确立了毛泽东在全党的实际领导地位。,八七会议,中共七大,遵义会议,党的六届六中全会,C
451,（  ）会议正式将毛泽东思想确立为党的指导思想并写入党章。,中共七大,党的六届六中全会,中共八大,遵义会议,A
452,中国共产党推进马克思主义中国化过程中的第一个重大理论成果是（  ）。,中国特色社会主义理论体系,毛泽东思想,邓小平理论,新民主主义革命理论,B
453,在中国共产党的历史上，（  ）第一个明确提出了“马克思主义中国化”的命题。,李大钊,陈独秀,毛泽东,刘少奇,C
454,（  ）实现了马克思主义中国化的第一次历史性飞跃。,中国特色社会主义理论体系,新民主主义革命理论,邓小平理论,毛泽东思想,D
455,毛泽东思想产生和形成的实践基础是(  )。,中国共产党领导的工人运动,中国共产党领导的革命和建设实践,中国共产党领导的学生运动,中国共产党领导的农民运动,B
456,（  ）为中国送来了马克思列宁主义，帮助中国的先进分子用无产阶级的世界观作为观察国家命运的工具。,共产国际,俄国十月革命的胜利,明治维新,欧洲1848年革命,B
457,毛泽东思想是在总结（  ）的基础上，逐步形成和发展起来的。,中国革命的历史经验,中国建设的历史经验,中国革命和建设正反两方面历史经验,苏联经验,C
458,毛泽东称之为“改变了整个世界历史的方向，划分了整个世界历史的时代”的是（  ）。,欧洲1848年革命,共产国际建立,苏联建国,俄国十月革命的胜利,D
459,毛泽东思想紧紧围绕的主题是（  ）。,中国革命,社会主义建设,中国革命和建设,中国建设和改革,C
460,（  ）是毛泽东思想达到成熟的主要标志。,新民主主义革命理论,社会主义革命理论,社会主义建设理论,军事战略理论,A
461,毛泽东思想的精髓和根本出发点是（ ）,实事求是,群众路线,独立自主,党的建设,A
462,毛泽东规定了（  ）是人民军队的唯一宗旨。,一切从实际出发,全心全意为人民服务,密切联系群众,理论联系实际,B
463,我们党一切行动的根本出发点和落脚点是（  ）,密切联系群众,理论联系实际,全心全意为人民服务,实事求是,C
464,我们党区别于其他一切政党的根本标志是（  ),密切联系群众,理论联系实际,独立自主、自力更生,全心全意为人民服务,D
465,毛泽东规定了（  ）的军事原则。,枪指挥党,党枪一致,党联系枪,党指挥枪,D
466,毛泽东指出（  ）是党的生命。,创新和突破,服务和信念,政策和策略,战略和方法,C
467,毛泽东提倡，知识分子要同（  ）相结合。,工人,生产,实践,工农,D
468,毛泽东指出，（  ）是一个根本的问题，原则的问题。,理论学习的问题,为什么人的问题,理想的问题,信念的问题,B
469,毛泽东提出，党员不但要在组织上入党，而且要在（  ）上入党。,思想,行动,觉悟,精神,A
470,毛泽东创造了全党通过（  ）进行马克思列宁主义思想教育的整风形式。,批判与斗争,批评与激励,反思与辩论,批评与自我批评,D
471,毛泽东多次要求全党警惕资产阶级思想的侵蚀，反对脱离群众的（）。,官僚主义,主观主义,享乐主义,本本主义,A
472,毛泽东晚年的错误是由于违反了他自己主张的（  ）原则。,理论联系实际,实事求是,艰苦奋斗,独立自主,B
473,毛泽东思想包含毛泽东一生中（  ）。,全部的探索,早年的经验,错误的部分,正确的部分,D
474,毛泽东思想是（  ）。,毛泽东的全部思想,毛泽东的理论探索,毛泽东的实践经验,中国共产党集体智慧的结晶,D
475,中国共产党始终是中国工人阶级的先锋队，同时是（　 ）。,全体劳动者的先锋队 ,中华民族的先锋队,中国人民的先锋队 ,中国人民和中华民族的先锋队,D
476,中国共产党的最高理想和最终目标是（   ）。,全面建成小康社会,建设社会主义和谐社会,实现社会主义现代化,实现共产主义,D
477,中国共产党的宗旨是(    )。,推动政治建设　,搞好经济建设 ,全心全意为人民服务,发展文化,C
478,（    ）是历史的创造者，是推动历史进步的动力。,人民群众,伟大领袖,统治阶级,思想家,A
479,中国共产党以（    ）为理论基础和行动指南。,社会主义,马克思主义,资本主义,封建主义,B
480,社会主义现代化建设的根本保证是(  )。,坚持经济建设为中心,坚持党政分开,坚持改革开放,坚持中国共产党的领导,D
481,（    ）是出卷人，党是答卷人。,时代,人民,中国共产党,穷人,A
482,（    ）是中国特色社会主义事业的领导核心。,工人,人民,中国共产党,知识分子,C
483,“四个伟大”中，（    ）是目标，指引前进方向。,伟大斗争,伟大工程,伟大事业,伟大梦想,D
484,"“四个伟大”中，（    ）是手段,目标激发前进动力。",伟大斗争,伟大工程,伟大事业,伟大梦想,A
485,“四个伟大”中，（    ）是保障，提供前进保证。,伟大斗争,伟大工程,伟大事业,伟大梦想,B
486,“四个伟大”中，（    ）是主题，开辟前进道路。,伟大斗争,伟大工程,伟大事业,伟大梦想,C
487,“四个伟大”中，起决定性作用的是（    ）,具有新的历史特点的伟大斗争,中国特色社会主义伟大事业,实现中华民族伟大复兴的伟大梦想,党的建设伟大工程,D
488,(      )是最高政治领导力量。,国家,全国人民代表大会,党,领袖,C
489,（    ）立场是中国共产党的根本立场。,马克思主义,人民,社会主义,共产主义,B
490,中国共产党要善于研究实践中不断出现的新问题、善于在实践中增长解决问题的新本领，这要求中国共产党必须建设（     ）政党。,改革型,服务型,创新型,学习型,D
491,确保党始终总揽全局、协调各方，必须增强“四个意识”。“四个意识”是指（    ）,思想意识、大局意识、核心意识、看齐意识。,政治意识、全局意识、核心意识、看齐意识。,政治意识、大局意识、核心意识、统一意识。,政治意识、大局意识、核心意识、看齐意识。,D
492,中国共产党坚持执政为民，把（    ）作为我们的奋斗目标。,全体人民的共同富裕,人民对美好生活的向往,社会的公平正义,构建社会主义和谐社会,B
493,中国共产党的最高理想和最终目标是（    ）,实现共产主义,带领人民共同富裕,长期执政,构建人类命运共同体,A
494,进入21世纪，国际形势发生广泛而深刻的变化，但（）仍是时代主题。,和平,发展,民主,和平与发展,D
495,（  ）的一个重要标志是互联网的飞速发展和广泛应用。,经济全球化,文化多样化,社会信息化,世界多极化,C
496,中国独立自主的和平外交政策，就是把国家主权和（）放在第一位。,稳定,安全,发展,进步,B
497,维护世界（）、促进共同发展，是中国外交政策的宗旨。,和平,安全,稳定,和谐,A
498,中国倡导的新型国际关系，核心是维护（）。,世界上所有国家利益,联合国宪章的宗旨和原则,世界稳定,世界和平,B
499,推动建立新型国际关系，要在（）基础上发展同世界各国的友好合作。,平等互利,共建共享,和平共处五项原则,互利共赢,C
500,发展是第一要务，适用于各国，而人类命运共同体追求的是（）。,和平发展,共同发展,科学发展,协调发展,B
501,文化已成为国家核心竞争力的重要组合部分，越来越多的国家把提高（）作为重要发展战略。,教育水平,国民素质,国民受教育水平,文化软实力,D
